period,dim1,dim2,gl_account,line_type,forecast_amount
2026-07-01,PC10,1000,400000,Revenue,1203241.95
2026-07-01,PC10,2000,400000,Revenue,641796.36
2026-07-01,PC10,3000,400000,Revenue,324843.99
2026-07-01,PC20,1000,400000,Revenue,852741.4
2026-07-01,PC20,2000,400000,Revenue,467515.12
2026-07-01,PC20,3000,400000,Revenue,235942.6
2026-07-01,PC30,1000,400100,Revenue,242432.65
2026-07-01,PC30,2000,400100,Revenue,132600.84
2026-07-01,PC30,3000,400100,Revenue,66290.71
2026-07-01,PC40,1000,400200,Revenue,428210.29
2026-07-01,PC40,2000,400200,Revenue,234639.02
2026-07-01,PC40,3000,400200,Revenue,118635.7
2026-07-01,CC100,1000,600000,Opex,269927.41
2026-07-01,CC100,1000,600100,Opex,56799.7
2026-07-01,CC100,1000,600200,Opex,20927.56
2026-07-01,CC100,1000,610000,Opex,122574.87
2026-07-01,CC100,1000,620000,Opex,19075.28
2026-07-01,CC100,1000,630000,Opex,14183.62
2026-07-01,CC100,1000,640000,Opex,10812.37
2026-07-01,CC100,2000,600000,Opex,147188.36
2026-07-01,CC100,2000,600100,Opex,31044.98
2026-07-01,CC100,2000,600200,Opex,11645.78
2026-07-01,CC100,2000,610000,Opex,67201.91
2026-07-01,CC100,2000,620000,Opex,10326.7
2026-07-01,CC100,2000,630000,Opex,7621.75
2026-07-01,CC100,2000,640000,Opex,5911.35
2026-07-01,CC100,3000,600000,Opex,74475.27
2026-07-01,CC100,3000,600100,Opex,15562.97
2026-07-01,CC100,3000,600200,Opex,5650.51
2026-07-01,CC100,3000,610000,Opex,34781.93
2026-07-01,CC100,3000,620000,Opex,4669.81
2026-07-01,CC100,3000,630000,Opex,3918.99
2026-07-01,CC100,3000,640000,Opex,2992.1
2026-07-01,CC200,1000,600000,Opex,536779.43
2026-07-01,CC200,1000,600100,Opex,112070.93
2026-07-01,CC200,1000,600200,Opex,41386.31
2026-07-01,CC200,1000,620000,Opex,11395.5
