scenario,period,revenue,opex,ebitda_proxy
Base,2026-07-01,4948890.63,4510724.08,438166.5499999998
Base,2026-08-01,5029287.41,4582828.99,446458.4199999999
Base,2026-09-01,5095687.19,4621953.9,473733.29000000004
Base,2026-10-01,5169394.69,4664860.81,504533.8800000008
Base,2026-11-01,5230859.5,4708223.51,522635.9900000002
Base,2026-12-01,5306938.84,4767166.83,539772.0099999998
Upside,2026-07-01,5201284.05213,4578384.941199999,622899.1109300004
Upside,2026-08-01,5285781.06791,4651571.42485,634209.6430599997
Upside,2026-09-01,5355567.23669,4691283.2085,664284.02819
Upside,2026-10-01,5433033.81919,4734833.722149999,698200.0970400013
Upside,2026-11-01,5497633.3345,4778846.86265,718786.4718500003
Upside,2026-12-01,5577592.72084,4838674.33245,738918.38839
Downside,2026-07-01,4627212.73905,4420509.5984,206703.14065000042
Downside,2026-08-01,4702383.7283499995,4491172.4102,211211.31814999972
Downside,2026-09-01,4764467.52265,4529514.822000001,234952.70064999908
Downside,2026-10-01,4833384.03515,4571563.5938,261820.44134999998
Downside,2026-11-01,4890853.632499999,4614059.039799999,276794.5926999999
Downside,2026-12-01,4961987.8154,4671823.4934,290164.3219999997
