period,line_type,budget_amount,actual_amount,variance_abs,variance_pct
2024-01-01,Opex,3343333.52,3119836.06,-223497.45999999996,-0.06684868819189775
2024-01-01,Revenue,3451552.33,3374319.73,-77232.6000000001,-0.022376192685451792
2024-02-01,Opex,3434257.11,3137590.85,-296666.2599999998,-0.08638440585480794
2024-02-01,Revenue,3435146.29,3396187.59,-38958.700000000186,-0.011341205500741625
2024-03-01,Opex,3553123.35,3202592.55,-350530.8000000003,-0.0986542727259948
2024-03-01,Revenue,3553787.04,3497884.37,-55902.669999999925,-0.015730450184769634
2024-04-01,Opex,3522944.51,3317663.46,-205281.0499999998,-0.05826973698203377
2024-04-01,Revenue,3623715.7800000003,3564305.42,-59410.360000000335,-0.01639487299967006
2024-05-01,Opex,3560891.24,3352267.9,-208623.34000000032,-0.058587394542272034
2024-05-01,Revenue,3626032.71,3553013.12,-73019.58999999985,-0.020137598262316793
2024-06-01,Opex,3496294.53,3350181.21,-146113.31999999983,-0.04179090712932581
2024-06-01,Revenue,3822240.33,3747503.25,-74737.08000000007,-0.019553213180606065
2024-07-01,Opex,3669449.32,3392253.48,-277195.83999999985,-0.0755415365703974
2024-07-01,Revenue,3789798.5700000003,3623127.0300000003,-166671.54000000004,-0.043978997015664614
2024-08-01,Opex,3704568.79,3412906.12,-291662.6699999999,-0.0787305315499351
2024-08-01,Revenue,3816191.45,3657801.07,-158390.38000000035,-0.04150483068662615
2024-09-01,Opex,3758208.85,3550509.89,-207698.95999999996,-0.055265411872999014
2024-09-01,Revenue,4010165.35,3946735.03,-63430.3200000003,-0.015817382692212504
2024-10-01,Opex,3775211.56,3537363.96,-237847.6000000001,-0.06300245594713111
2024-10-01,Revenue,4044076.27,3874182.66,-169893.60999999987,-0.04201048611776055
2024-11-01,Opex,3769946.04,3599617.02,-170329.02000000002,-0.04518075807790607
2024-11-01,Revenue,4127199.9699999997,4006897.73,-120302.23999999976,-0.02914863366797315
2024-12-01,Opex,3751336.43,3459885.44,-291450.9900000002,-0.07769257581624056
2024-12-01,Revenue,4286366.16,4070781.23,-215584.93000000017,-0.05029550018657299
2025-01-01,Opex,3712604.91,3612333.33,-100271.58000000007,-0.027008416578321034
2025-01-01,Revenue,4184156.4499999997,4106460.69,-77695.75999999978,-0.018569037971799495
2025-02-01,Opex,3733733.1,3654995.56,-78737.54000000004,-0.021088154372898276
2025-02-01,Revenue,4211272.63,4203447.74,-7824.889999999665,-0.0018580820306567673
2025-03-01,Opex,3811085.13,3778440.3,-32644.830000000075,-0.008565757228309427
2025-03-01,Revenue,4337376.62,4169261.71,-168114.91000000015,-0.0387595832063115
2025-04-01,Opex,3948019.53,3904013.2199999997,-44006.310000000056,-0.011146426623679862
