fiscal_quarter,cost_center,avg_sentiment,predicted_tone_mode,budget_amount,actual_amount,variance_pct
2024-Q1,CC100,1.0,Positive,2295355.9,2079930.1,-0.09385289662487627
2024-Q1,CC200,-1.0,Negative,3111809.79,3013876.7,-0.031471425507662486
2024-Q1,CC300,1.0,Positive,765256.75,635988.77,-0.1689210581938676
2024-Q1,CC400,1.0,Positive,888406.55,853743.76,-0.03901681049064759
2024-Q1,CC500,0.0,Neutral,3269884.99,2876480.13,-0.12031152814337984
2024-Q2,CC100,1.0,Positive,2352765.4,2174009.26,-0.07597703536442696
2024-Q2,CC200,1.0,Positive,3311843.16,3115410.13,-0.05931229847249175
2024-Q2,CC300,1.0,Positive,747723.64,663571.54,-0.11254438872629462
2024-Q2,CC400,1.0,Positive,919831.75,890368.87,-0.03203072735856313
2024-Q2,CC500,0.0,Neutral,3247966.33,3176752.77,-0.02192558443178198
2024-Q3,CC100,1.0,Positive,2483800.7,2211397.35,-0.10967198374652204
2024-Q3,CC200,0.0,Neutral,3499309.48,3290931.67,-0.059548265505227634
2024-Q3,CC300,1.0,Positive,762716.68,670861.55,-0.1204315211776934
2024-Q3,CC400,1.0,Positive,945768.73,914011.51,-0.033578208913716115
2024-Q3,CC500,1.0,Positive,3440631.37,3268467.41,-0.05003847883884171
2024-Q4,CC100,1.0,Positive,2447721.43,2315841.7399999998,-0.053878553492094236
2024-Q4,CC200,1.0,Positive,3564465.89,3407651.9,-0.043993685124028556
2024-Q4,CC300,1.0,Positive,778614.05,670916.97,-0.13831895275971462
2024-Q4,CC400,-1.0,Negative,1000860.28,968204.4500000001,-0.03262776098977567
2024-Q4,CC500,1.0,Positive,3504832.38,3234251.36,-0.07720227122530751
2025-Q1,CC100,1.0,Positive,2475116.84,2385237.72,-0.036313081688701065
2025-Q1,CC200,1.0,Positive,3586513.26,3484153.27,-0.02854025137495233
2025-Q1,CC300,1.0,Positive,756826.62,697020.91,-0.07902167870363752
2025-Q1,CC400,1.0,Positive,1015955.09,1001617.8200000001,-0.014112110014626634
2025-Q1,CC500,0.0,Neutral,3423011.33,3477739.47,0.015988302323264623
2025-Q2,CC100,1.0,Positive,2587071.03,2488334.65,-0.03816531469566953
2025-Q2,CC200,-1.0,Negative,3707338.03,3705203.91,-0.000575647535436537
2025-Q2,CC300,0.0,Neutral,789650.13,703613.6,-0.10895525338544557
2025-Q2,CC400,1.0,Positive,1059538.99,1037310.97,-0.020978954252547158
2025-Q2,CC500,0.0,Neutral,3780335.81,3798268.95,0.004743795498950695
2025-Q3,CC100,0.0,Neutral,2631562.85,2493149.79,-0.052597284537589536
2025-Q3,CC200,1.0,Positive,3916208.68,3903469.12,-0.0032530340032850486
2025-Q3,CC300,0.0,Neutral,798325.26,717440.13,-0.10131851521270917
2025-Q3,CC400,1.0,Positive,1087673.72,1071655.45,-0.01472709113538205
2025-Q3,CC500,0.0,Neutral,3889476.22,3822648.75,-0.01718161166698178
2025-Q4,CC100,1.0,Positive,2755851.66,2578421.45,-0.06438307713558136
2025-Q4,CC200,0.0,Neutral,4055105.76,4018421.72,-0.00904638304673947
2025-Q4,CC300,0.0,Neutral,798391.19,734210.64,-0.080387347460585
2025-Q4,CC400,1.0,Positive,1152163.27,1106259.65,-0.03984124576371898
2025-Q4,CC500,0.0,Neutral,3848759.07,4023349.1,0.04536268101603987
2026-Q1,CC100,1.0,Positive,2766875.78,2694713.19,-0.026080892579861268
2026-Q1,CC200,1.0,Positive,4041617.77,4155266.39,0.028119586380381565
2026-Q1,CC300,1.0,Positive,808544.3,740132.39,-0.0846112080686241
2026-Q1,CC400,1.0,Positive,1161876.64,1111214.62,-0.04360361354713164
2026-Q1,CC500,1.0,Positive,4034177.75,4224120.14,0.04708329720969773
2026-Q2,CC100,1.0,Positive,2886468.15,2804237.56,-0.028488306721832304
2026-Q2,CC200,1.0,Positive,4298036.53,4263073.85,-0.008134570228978634
2026-Q2,CC300,1.0,Positive,816191.78,769551.69,-0.05714354290605583
2026-Q2,CC400,1.0,Positive,1203280.75,1170679.62,-0.027093535735529625
2026-Q2,CC500,1.0,Positive,4405991.95,4412219.28,0.0014133775255762949
