period,line_type,forecast_amount,actual_amount,variance_abs,variance_pct
2026-07-01,Opex,4510724.08,4506361.52,-4362.5600000005215,-0.000967152927695928
2026-07-01,Revenue,4948890.63,4864742.94,-84147.68999999948,-0.017003344040359098
2026-08-01,Opex,4582828.99,4787573.83,204744.83999999985,0.04467651759355739
2026-08-01,Revenue,5029287.41,4987227.34,-42060.0700000003,-0.008363027715689905
2026-09-01,Opex,4621953.9,4759377.71,137423.8099999996,0.02973283874596836
2026-09-01,Revenue,5095687.19,4972539.4399999995,-123147.75000000093,-0.024167054492997816
2026-10-01,Opex,4664860.81,4755307.6899999995,90446.87999999989,0.01938897722438151
2026-10-01,Revenue,5169394.69,5000264.5,-169130.1900000004,-0.03271760044308019
2026-11-01,Opex,4708223.51,4901125.47,192901.95999999996,0.04097128345548744
2026-11-01,Revenue,5230859.5,5102176.6,-128682.90000000037,-0.02460071810378397
2026-12-01,Opex,4767166.83,4766832.98,-333.84999999962747,-7.003111321774897e-05
2026-12-01,Revenue,5306938.84,5284234.22,-22704.62000000011,-0.004278289365023116
