period,fiscal_year,fiscal_quarter,month_name,is_actual
2023-01-01,2023,Q1,Jan-2023,True
2023-02-01,2023,Q1,Feb-2023,True
2023-03-01,2023,Q1,Mar-2023,True
2023-04-01,2023,Q2,Apr-2023,True
2023-05-01,2023,Q2,May-2023,True
2023-06-01,2023,Q2,Jun-2023,True
2023-07-01,2023,Q3,Jul-2023,True
2023-08-01,2023,Q3,Aug-2023,True
2023-09-01,2023,Q3,Sep-2023,True
2023-10-01,2023,Q4,Oct-2023,True
2023-11-01,2023,Q4,Nov-2023,True
2023-12-01,2023,Q4,Dec-2023,True
2024-01-01,2024,Q1,Jan-2024,True
2024-02-01,2024,Q1,Feb-2024,True
2024-03-01,2024,Q1,Mar-2024,True
2024-04-01,2024,Q2,Apr-2024,True
2024-05-01,2024,Q2,May-2024,True
2024-06-01,2024,Q2,Jun-2024,True
2024-07-01,2024,Q3,Jul-2024,True
2024-08-01,2024,Q3,Aug-2024,True
2024-09-01,2024,Q3,Sep-2024,True
2024-10-01,2024,Q4,Oct-2024,True
2024-11-01,2024,Q4,Nov-2024,True
2024-12-01,2024,Q4,Dec-2024,True
2025-01-01,2025,Q1,Jan-2025,True
2025-02-01,2025,Q1,Feb-2025,True
2025-03-01,2025,Q1,Mar-2025,True
2025-04-01,2025,Q2,Apr-2025,True
2025-05-01,2025,Q2,May-2025,True
2025-06-01,2025,Q2,Jun-2025,True
2025-07-01,2025,Q3,Jul-2025,True
2025-08-01,2025,Q3,Aug-2025,True
2025-09-01,2025,Q3,Sep-2025,True
2025-10-01,2025,Q4,Oct-2025,True
2025-11-01,2025,Q4,Nov-2025,True
2025-12-01,2025,Q4,Dec-2025,True
2026-01-01,2026,Q1,Jan-2026,True
2026-02-01,2026,Q1,Feb-2026,True
2026-03-01,2026,Q1,Mar-2026,True
2026-04-01,2026,Q2,Apr-2026,True
2026-05-01,2026,Q2,May-2026,True
2026-06-01,2026,Q2,Jun-2026,True
2026-07-01,2026,Q3,Jul-2026,False
2026-08-01,2026,Q3,Aug-2026,False
2026-09-01,2026,Q3,Sep-2026,False
2026-10-01,2026,Q4,Oct-2026,False
2026-11-01,2026,Q4,Nov-2026,False
2026-12-01,2026,Q4,Dec-2026,False
