period,amount,total_headcount,opex_per_headcount_monthly
2023-01-01,2740437.34,160.0,17127.733375
2023-02-01,2814964.81,161.2,17462.560856079406
2023-03-01,2912396.24,163.3,17834.637109614207
2023-04-01,2887659.41,164.5,17554.160547112464
2023-05-01,2918763.33,166.7,17509.07816436713
2023-06-01,2865815.2399999998,167.8,17078.75589988081
2023-07-01,3007745.35,169.3,17765.772888363852
2023-08-01,3036531.79,171.5,17705.72472303207
2023-09-01,3080499.06,172.9,17816.65159051475
2023-10-01,3094435.73,173.3,17855.947663012117
2023-11-01,3090119.7,174.4,17718.57626146789
2023-12-01,3074865.94,176.0,17470.829204545455
2024-01-01,3119836.06,177.2,17606.298306997745
2024-02-01,3137590.85,179.0,17528.440502793295
2024-03-01,3202592.55,181.3,17664.603143960285
2024-04-01,3317663.46,182.70000000000002,18159.077504105087
2024-05-01,3352267.9,185.4,18081.27238403452
2024-06-01,3350181.21,185.9,18021.415868746637
2024-07-01,3392253.48,188.4,18005.59171974522
2024-08-01,3412906.12,189.7,17991.070743278862
2024-09-01,3550509.89,192.0,18492.239010416666
2024-10-01,3537363.96,193.8,18252.6520123839
2024-11-01,3599617.02,196.1,18356.027638959717
2024-12-01,3459885.44,197.3,17536.165433350227
2025-01-01,3612333.33,199.7,18088.799849774663
2025-02-01,3654995.56,201.5,18138.935781637716
2025-03-01,3778440.3,203.7,18549.044182621503
2025-04-01,3904013.2199999997,206.0,18951.520485436893
2025-05-01,3893297.15,208.70000000000002,18654.99353138476
2025-06-01,3935421.71,210.2,18722.272645099907
2025-07-01,3982649.9099999997,212.3,18759.537965143663
2025-08-01,3989983.88,214.0,18644.78448598131
2025-09-01,4035729.45,216.4,18649.396719038818
2025-10-01,4185051.84,217.2,19268.194475138123
2025-11-01,4105583.85,220.5,18619.42789115646
2025-12-01,4170026.87,222.9,18708.061327949752
2026-01-01,4284593.04,224.5,19085.046948775056
2026-02-01,4277368.08,226.2,18909.673209549073
2026-03-01,4363485.61,227.5,19180.15652747253
2026-04-01,4389345.68,229.6,19117.359233449475
2026-05-01,4505552.97,231.4,19470.842566983578
2026-06-01,4524863.35,234.0,19337.02286324786
2026-07-01,4506361.52,236.8,19030.2429054054
2026-08-01,4787573.83,239.29999999999998,20006.576807354788
2026-09-01,4759377.71,241.5,19707.568157349895
2026-10-01,4755307.6899999995,243.5,19528.98435318275
2026-11-01,4901125.47,245.9,19931.376453843022
2026-12-01,4766832.98,248.9,19151.598955403777
