period,dim1,dim2,gl_account,line_type,budget_amount
2024-01-01,PC10,1000,400000,Revenue,743805.9
2024-02-01,PC10,1000,400000,Revenue,765910.17
2024-03-01,PC10,1000,400000,Revenue,798242.97
2024-04-01,PC10,1000,400000,Revenue,814608.52
2024-05-01,PC10,1000,400000,Revenue,840439.0
2024-06-01,PC10,1000,400000,Revenue,863528.99
2024-07-01,PC10,1000,400000,Revenue,871880.88
2024-08-01,PC10,1000,400000,Revenue,886702.03
2024-09-01,PC10,1000,400000,Revenue,915650.12
2024-10-01,PC10,1000,400000,Revenue,934806.98
2024-11-01,PC10,1000,400000,Revenue,949796.28
2024-12-01,PC10,1000,400000,Revenue,967974.43
2024-01-01,PC10,2000,400000,Revenue,405712.31
2024-02-01,PC10,2000,400000,Revenue,417769.19
2024-03-01,PC10,2000,400000,Revenue,435405.26
2024-04-01,PC10,2000,400000,Revenue,444331.93
2024-05-01,PC10,2000,400000,Revenue,458421.27
2024-06-01,PC10,2000,400000,Revenue,471015.81
2024-07-01,PC10,2000,400000,Revenue,475571.39
2024-08-01,PC10,2000,400000,Revenue,483655.65
2024-09-01,PC10,2000,400000,Revenue,499445.52
2024-10-01,PC10,2000,400000,Revenue,509894.71
2024-11-01,PC10,2000,400000,Revenue,518070.69
2024-12-01,PC10,2000,400000,Revenue,527986.05
2024-01-01,PC10,3000,400000,Revenue,202856.15
2024-02-01,PC10,3000,400000,Revenue,208884.6
2024-03-01,PC10,3000,400000,Revenue,217702.63
2024-04-01,PC10,3000,400000,Revenue,222165.96
2024-05-01,PC10,3000,400000,Revenue,229210.64
2024-06-01,PC10,3000,400000,Revenue,235507.9
2024-07-01,PC10,3000,400000,Revenue,237785.69
2024-08-01,PC10,3000,400000,Revenue,241827.83
2024-09-01,PC10,3000,400000,Revenue,249722.76
2024-10-01,PC10,3000,400000,Revenue,254947.35
2024-11-01,PC10,3000,400000,Revenue,259035.35
2024-12-01,PC10,3000,400000,Revenue,263993.02
2024-01-01,PC20,1000,400000,Revenue,536684.12
2024-02-01,PC20,1000,400000,Revenue,544527.08
2024-03-01,PC20,1000,400000,Revenue,554593.59
2024-04-01,PC20,1000,400000,Revenue,560526.09
2024-05-01,PC20,1000,400000,Revenue,573816.26
2024-06-01,PC20,1000,400000,Revenue,593322.82
2024-07-01,PC20,1000,400000,Revenue,602497.18
2024-08-01,PC20,1000,400000,Revenue,627864.86
2024-09-01,PC20,1000,400000,Revenue,640735.83
2024-10-01,PC20,1000,400000,Revenue,650881.19
2024-11-01,PC20,1000,400000,Revenue,665650.09
2024-12-01,PC20,1000,400000,Revenue,697725.81
2024-01-01,PC20,2000,400000,Revenue,292736.79
2024-02-01,PC20,2000,400000,Revenue,297014.77
2024-03-01,PC20,2000,400000,Revenue,302505.59
2024-04-01,PC20,2000,400000,Revenue,305741.5
2024-05-01,PC20,2000,400000,Revenue,312990.68
2024-06-01,PC20,2000,400000,Revenue,323630.63
2024-07-01,PC20,2000,400000,Revenue,328634.82
2024-08-01,PC20,2000,400000,Revenue,342471.74
2024-09-01,PC20,2000,400000,Revenue,349492.28
2024-10-01,PC20,2000,400000,Revenue,355026.11
2024-11-01,PC20,2000,400000,Revenue,363081.87
2024-12-01,PC20,2000,400000,Revenue,380577.72
2024-01-01,PC20,3000,400000,Revenue,146368.4
2024-02-01,PC20,3000,400000,Revenue,148507.38
2024-03-01,PC20,3000,400000,Revenue,151252.8
2024-04-01,PC20,3000,400000,Revenue,152870.76
2024-05-01,PC20,3000,400000,Revenue,156495.35
2024-06-01,PC20,3000,400000,Revenue,161815.31
2024-07-01,PC20,3000,400000,Revenue,164317.41
2024-08-01,PC20,3000,400000,Revenue,171235.87
2024-09-01,PC20,3000,400000,Revenue,174746.14
2024-10-01,PC20,3000,400000,Revenue,177513.05
2024-11-01,PC20,3000,400000,Revenue,181540.93
2024-12-01,PC20,3000,400000,Revenue,190288.86
2024-01-01,PC30,1000,400100,Revenue,151275.05
2024-02-01,PC30,1000,400100,Revenue,116387.07
2024-03-01,PC30,1000,400100,Revenue,142892.81
2024-04-01,PC30,1000,400100,Revenue,155325.47
2024-05-01,PC30,1000,400100,Revenue,118167.24
2024-06-01,PC30,1000,400100,Revenue,181572.07
2024-07-01,PC30,1000,400100,Revenue,147914.33
2024-08-01,PC30,1000,400100,Revenue,121447.77
2024-09-01,PC30,1000,400100,Revenue,183185.09
2024-10-01,PC30,1000,400100,Revenue,168845.96
2024-11-01,PC30,1000,400100,Revenue,175895.16
2024-12-01,PC30,1000,400100,Revenue,202014.45
2024-01-01,PC30,2000,400100,Revenue,82513.66
2024-02-01,PC30,2000,400100,Revenue,63483.85
2024-03-01,PC30,2000,400100,Revenue,77941.53
2024-04-01,PC30,2000,400100,Revenue,84722.98
2024-05-01,PC30,2000,400100,Revenue,64454.86
2024-06-01,PC30,2000,400100,Revenue,99039.31
2024-07-01,PC30,2000,400100,Revenue,80680.54
2024-08-01,PC30,2000,400100,Revenue,66244.24
2024-09-01,PC30,2000,400100,Revenue,99919.14
2024-10-01,PC30,2000,400100,Revenue,92097.8
2024-11-01,PC30,2000,400100,Revenue,95942.81
2024-12-01,PC30,2000,400100,Revenue,110189.7
2024-01-01,PC30,3000,400100,Revenue,41256.83
2024-02-01,PC30,3000,400100,Revenue,31741.93
2024-03-01,PC30,3000,400100,Revenue,38970.76
2024-04-01,PC30,3000,400100,Revenue,42361.5
2024-05-01,PC30,3000,400100,Revenue,32227.43
2024-06-01,PC30,3000,400100,Revenue,49519.65
2024-07-01,PC30,3000,400100,Revenue,40340.28
