document_number,posting_date,period,company_code,profit_center,cost_center,gl_account,amount,debit_credit,document_type,source
4900000001,2023-01-21,2023-01-01,1000,PC10,,400000,581098.36,C,RV,Billing
4900000002,2023-01-04,2023-01-01,2000,PC10,,400000,316962.74,C,RV,Billing
4900000003,2023-01-01,2023-01-01,3000,PC10,,400000,158481.37,C,RV,Billing
4900000004,2023-01-24,2023-01-01,1000,PC20,,400000,419284.47,C,RV,Billing
4900000005,2023-01-09,2023-01-01,2000,PC20,,400000,228700.62,C,RV,Billing
4900000006,2023-01-08,2023-01-01,3000,PC20,,400000,114350.31,C,RV,Billing
4900000007,2023-01-08,2023-01-01,1000,PC40,,400200,364522.43,C,RV,Billing
4900000008,2023-01-05,2023-01-01,2000,PC40,,400200,198830.42,C,RV,Billing
4900000009,2023-01-24,2023-01-01,3000,PC40,,400200,99415.21,C,RV,Billing
4900000010,2023-01-04,2023-01-01,1000,PC30,,400100,118183.63,C,RV,Billing
4900000011,2023-01-22,2023-01-01,2000,PC30,,400100,64463.8,C,RV,Billing
4900000012,2023-01-24,2023-01-01,3000,PC30,,400100,32231.9,C,RV,Billing
4900000013,2023-02-18,2023-02-01,1000,PC10,,400000,598367.32,C,RV,Billing
4900000014,2023-02-03,2023-02-01,2000,PC10,,400000,326382.18,C,RV,Billing
4900000015,2023-02-19,2023-02-01,3000,PC10,,400000,163191.09,C,RV,Billing
4900000016,2023-02-14,2023-02-01,1000,PC20,,400000,425411.78,C,RV,Billing
4900000017,2023-02-02,2023-02-01,2000,PC20,,400000,232042.79,C,RV,Billing
4900000018,2023-02-01,2023-02-01,3000,PC20,,400000,116021.39,C,RV,Billing
4900000019,2023-02-03,2023-02-01,1000,PC40,,400200,361332.92,C,RV,Billing
4900000020,2023-02-07,2023-02-01,2000,PC40,,400200,197090.68,C,RV,Billing
4900000021,2023-02-08,2023-02-01,3000,PC40,,400200,98545.34,C,RV,Billing
4900000022,2023-02-17,2023-02-01,1000,PC30,,400100,90927.4,C,RV,Billing
4900000023,2023-02-20,2023-02-01,2000,PC30,,400100,49596.76,C,RV,Billing
4900000024,2023-02-01,2023-02-01,3000,PC30,,400100,24798.38,C,RV,Billing
4900000025,2023-03-18,2023-03-01,1000,PC10,,400000,623627.32,C,RV,Billing
4900000026,2023-03-07,2023-03-01,2000,PC10,,400000,340160.36,C,RV,Billing
4900000027,2023-03-23,2023-03-01,3000,PC10,,400000,170080.18,C,RV,Billing
4900000028,2023-03-21,2023-03-01,1000,PC20,,400000,433276.24,C,RV,Billing
4900000029,2023-03-23,2023-03-01,2000,PC20,,400000,236332.49,C,RV,Billing
4900000030,2023-03-18,2023-03-01,3000,PC20,,400000,118166.25,C,RV,Billing
4900000031,2023-03-14,2023-03-01,1000,PC40,,400200,358479.3,C,RV,Billing
4900000032,2023-03-08,2023-03-01,2000,PC40,,400200,195534.17,C,RV,Billing
4900000033,2023-03-15,2023-03-01,3000,PC40,,400200,97767.08,C,RV,Billing
4900000034,2023-03-19,2023-03-01,1000,PC30,,400100,111635.01,C,RV,Billing
4900000035,2023-03-09,2023-03-01,2000,PC30,,400100,60891.82,C,RV,Billing
4900000036,2023-03-26,2023-03-01,3000,PC30,,400100,30445.91,C,RV,Billing
4900000037,2023-04-28,2023-04-01,1000,PC10,,400000,636412.91,C,RV,Billing
4900000038,2023-04-01,2023-04-01,2000,PC10,,400000,347134.32,C,RV,Billing
4900000039,2023-04-25,2023-04-01,3000,PC10,,400000,173567.16,C,RV,Billing
4900000040,2023-04-26,2023-04-01,1000,PC20,,400000,437911.01,C,RV,Billing
4900000041,2023-04-06,2023-04-01,2000,PC20,,400000,238860.55,C,RV,Billing
4900000042,2023-04-23,2023-04-01,3000,PC20,,400000,119430.28,C,RV,Billing
4900000043,2023-04-14,2023-04-01,1000,PC40,,400200,361393.43,C,RV,Billing
4900000044,2023-04-11,2023-04-01,2000,PC40,,400200,197123.69,C,RV,Billing
4900000045,2023-04-09,2023-04-01,3000,PC40,,400200,98561.84,C,RV,Billing
4900000046,2023-04-05,2023-04-01,1000,PC30,,400100,121348.02,C,RV,Billing
4900000047,2023-04-07,2023-04-01,2000,PC30,,400100,66189.83,C,RV,Billing
4900000048,2023-04-25,2023-04-01,3000,PC30,,400100,33094.92,C,RV,Billing
4900000049,2023-05-11,2023-05-01,1000,PC10,,400000,656592.97,C,RV,Billing
4900000050,2023-05-04,2023-05-01,2000,PC10,,400000,358141.62,C,RV,Billing
4900000051,2023-05-03,2023-05-01,3000,PC10,,400000,179070.81,C,RV,Billing
4900000052,2023-05-13,2023-05-01,1000,PC20,,400000,448293.95,C,RV,Billing
4900000053,2023-05-04,2023-05-01,2000,PC20,,400000,244523.97,C,RV,Billing
4900000054,2023-05-12,2023-05-01,3000,PC20,,400000,122261.99,C,RV,Billing
4900000055,2023-05-28,2023-05-01,1000,PC40,,400200,360855.85,C,RV,Billing
4900000056,2023-05-12,2023-05-01,2000,PC40,,400200,196830.47,C,RV,Billing
4900000057,2023-05-20,2023-05-01,3000,PC40,,400200,98415.23,C,RV,Billing
4900000058,2023-05-09,2023-05-01,1000,PC30,,400100,92318.16,C,RV,Billing
4900000059,2023-05-26,2023-05-01,2000,PC30,,400100,50355.36,C,RV,Billing
4900000060,2023-05-02,2023-05-01,3000,PC30,,400100,25177.68,C,RV,Billing
4900000061,2023-06-24,2023-06-01,1000,PC10,,400000,674632.02,C,RV,Billing
4900000062,2023-06-15,2023-06-01,2000,PC10,,400000,367981.1,C,RV,Billing
4900000063,2023-06-18,2023-06-01,3000,PC10,,400000,183990.55,C,RV,Billing
4900000064,2023-06-04,2023-06-01,1000,PC20,,400000,463533.45,C,RV,Billing
4900000065,2023-06-13,2023-06-01,2000,PC20,,400000,252836.43,C,RV,Billing
4900000066,2023-06-03,2023-06-01,3000,PC20,,400000,126418.21,C,RV,Billing
4900000067,2023-06-18,2023-06-01,1000,PC40,,400200,362350.24,C,RV,Billing
4900000068,2023-06-10,2023-06-01,2000,PC40,,400200,197645.59,C,RV,Billing
4900000069,2023-06-27,2023-06-01,3000,PC40,,400200,98822.79,C,RV,Billing
4900000070,2023-06-21,2023-06-01,1000,PC30,,400100,141853.18,C,RV,Billing
4900000071,2023-06-20,2023-06-01,2000,PC30,,400100,77374.46,C,RV,Billing
4900000072,2023-06-28,2023-06-01,3000,PC30,,400100,38687.23,C,RV,Billing
4900000073,2023-07-12,2023-07-01,1000,PC10,,400000,681156.94,C,RV,Billing
4900000074,2023-07-19,2023-07-01,2000,PC10,,400000,371540.15,C,RV,Billing
4900000075,2023-07-07,2023-07-01,3000,PC10,,400000,185770.07,C,RV,Billing
4900000076,2023-07-23,2023-07-01,1000,PC20,,400000,470700.92,C,RV,Billing
4900000077,2023-07-03,2023-07-01,2000,PC20,,400000,256745.95,C,RV,Billing
4900000078,2023-07-02,2023-07-01,3000,PC20,,400000,128372.98,C,RV,Billing
4900000079,2023-07-22,2023-07-01,1000,PC40,,400200,361013.15,C,RV,Billing
4900000080,2023-07-08,2023-07-01,2000,PC40,,400200,196916.26,C,RV,Billing
4900000081,2023-07-25,2023-07-01,3000,PC40,,400200,98458.13,C,RV,Billing
4900000082,2023-07-10,2023-07-01,1000,PC30,,400100,115558.07,C,RV,Billing
4900000083,2023-07-03,2023-07-01,2000,PC30,,400100,63031.67,C,RV,Billing
4900000084,2023-07-28,2023-07-01,3000,PC30,,400100,31515.84,C,RV,Billing
4900000085,2023-08-08,2023-08-01,1000,PC10,,400000,692735.96,C,RV,Billing
4900000086,2023-08-28,2023-08-01,2000,PC10,,400000,377855.98,C,RV,Billing
4900000087,2023-08-04,2023-08-01,3000,PC10,,400000,188927.99,C,RV,Billing
4900000088,2023-08-13,2023-08-01,1000,PC20,,400000,490519.42,C,RV,Billing
4900000089,2023-08-09,2023-08-01,2000,PC20,,400000,267556.05,C,RV,Billing
4900000090,2023-08-15,2023-08-01,3000,PC20,,400000,133778.02,C,RV,Billing
4900000091,2023-08-21,2023-08-01,1000,PC40,,400200,361633.31,C,RV,Billing
4900000092,2023-08-27,2023-08-01,2000,PC40,,400200,197254.53,C,RV,Billing
4900000093,2023-08-12,2023-08-01,3000,PC40,,400200,98627.27,C,RV,Billing
4900000094,2023-08-06,2023-08-01,1000,PC30,,400100,94881.07,C,RV,Billing
4900000095,2023-08-12,2023-08-01,2000,PC30,,400100,51753.31,C,RV,Billing
4900000096,2023-08-12,2023-08-01,3000,PC30,,400100,25876.65,C,RV,Billing
4900000097,2023-09-07,2023-09-01,1000,PC10,,400000,715351.66,C,RV,Billing
4900000098,2023-09-22,2023-09-01,2000,PC10,,400000,390191.81,C,RV,Billing
4900000099,2023-09-09,2023-09-01,3000,PC10,,400000,195095.91,C,RV,Billing
4900000100,2023-09-23,2023-09-01,1000,PC20,,400000,500574.87,C,RV,Billing
4900000101,2023-09-22,2023-09-01,2000,PC20,,400000,273040.84,C,RV,Billing
