period,cost_center,company_code,headcount,avg_fully_loaded_cost
2023-01-01,CC100,1000,23.3,118275.33333333333
2023-01-01,CC100,2000,12.7,118275.33333333333
2023-01-01,CC100,3000,6.4,118275.33333333333
2023-01-01,CC200,1000,32.1,152354.66666666666
2023-01-01,CC200,2000,17.5,152354.66666666666
2023-01-01,CC200,3000,8.8,152354.66666666666
2023-01-01,CC300,1000,10.4,105245.0
2023-01-01,CC300,2000,5.7,105245.0
2023-01-01,CC300,3000,2.8,105245.0
2023-01-01,CC400,1000,14.5,98228.66666666666
2023-01-01,CC400,2000,7.9,98228.66666666666
2023-01-01,CC400,3000,3.9,98228.66666666666
2023-01-01,CC500,1000,7.7,122284.66666666666
2023-01-01,CC500,2000,4.2,122284.66666666666
2023-01-01,CC500,3000,2.1,122284.66666666666
2023-02-01,CC100,1000,23.3,118550.66666666666
2023-02-01,CC100,2000,12.7,118550.66666666666
2023-02-01,CC100,3000,6.4,118550.66666666666
2023-02-01,CC200,1000,32.4,152709.3333333333
2023-02-01,CC200,2000,17.7,152709.3333333333
2023-02-01,CC200,3000,8.8,152709.3333333333
2023-02-01,CC300,1000,10.3,105489.99999999999
2023-02-01,CC300,2000,5.6,105489.99999999999
2023-02-01,CC300,3000,2.8,105489.99999999999
2023-02-01,CC400,1000,14.8,98457.33333333333
2023-02-01,CC400,2000,8.1,98457.33333333333
2023-02-01,CC400,3000,4.0,98457.33333333333
2023-02-01,CC500,1000,7.9,122569.33333333333
2023-02-01,CC500,2000,4.3,122569.33333333333
2023-02-01,CC500,3000,2.1,122569.33333333333
2023-03-01,CC100,1000,23.5,118825.99999999999
2023-03-01,CC100,2000,12.8,118825.99999999999
2023-03-01,CC100,3000,6.4,118825.99999999999
2023-03-01,CC200,1000,33.0,153063.99999999997
2023-03-01,CC200,2000,18.0,153063.99999999997
2023-03-01,CC200,3000,9.0,153063.99999999997
2023-03-01,CC300,1000,10.4,105734.99999999999
2023-03-01,CC300,2000,5.7,105734.99999999999
2023-03-01,CC300,3000,2.8,105734.99999999999
2023-03-01,CC400,1000,14.9,98685.99999999999
2023-03-01,CC400,2000,8.1,98685.99999999999
2023-03-01,CC400,3000,4.1,98685.99999999999
2023-03-01,CC500,1000,8.0,122853.99999999999
2023-03-01,CC500,2000,4.4,122853.99999999999
2023-03-01,CC500,3000,2.2,122853.99999999999
2023-04-01,CC100,1000,23.8,119101.33333333334
2023-04-01,CC100,2000,13.0,119101.33333333334
2023-04-01,CC100,3000,6.5,119101.33333333334
2023-04-01,CC200,1000,33.2,153418.6666666667
2023-04-01,CC200,2000,18.1,153418.6666666667
2023-04-01,CC200,3000,9.1,153418.6666666667
2023-04-01,CC300,1000,10.4,105980.00000000001
2023-04-01,CC300,2000,5.7,105980.00000000001
2023-04-01,CC300,3000,2.8,105980.00000000001
2023-04-01,CC400,1000,15.0,98914.66666666667
2023-04-01,CC400,2000,8.2,98914.66666666667
2023-04-01,CC400,3000,4.1,98914.66666666667
2023-04-01,CC500,1000,8.0,123138.66666666667
2023-04-01,CC500,2000,4.4,123138.66666666667
2023-04-01,CC500,3000,2.2,123138.66666666667
2023-05-01,CC100,1000,24.1,119376.66666666667
2023-05-01,CC100,2000,13.2,119376.66666666667
2023-05-01,CC100,3000,6.6,119376.66666666667
2023-05-01,CC200,1000,34.0,153773.33333333334
2023-05-01,CC200,2000,18.5,153773.33333333334
2023-05-01,CC200,3000,9.3,153773.33333333334
2023-05-01,CC300,1000,10.3,106225.0
2023-05-01,CC300,2000,5.6,106225.0
2023-05-01,CC300,3000,2.8,106225.0
2023-05-01,CC400,1000,15.2,99143.33333333334
2023-05-01,CC400,2000,8.3,99143.33333333334
2023-05-01,CC400,3000,4.1,99143.33333333334
2023-05-01,CC500,1000,8.1,123423.33333333334
2023-05-01,CC500,2000,4.4,123423.33333333334
2023-05-01,CC500,3000,2.2,123423.33333333334
2023-06-01,CC100,1000,24.3,119652.0
2023-06-01,CC100,2000,13.2,119652.0
2023-06-01,CC100,3000,6.6,119652.0
2023-06-01,CC200,1000,34.3,154128.0
2023-06-01,CC200,2000,18.7,154128.0
2023-06-01,CC200,3000,9.4,154128.0
2023-06-01,CC300,1000,10.3,106470.0
2023-06-01,CC300,2000,5.6,106470.0
