period,total_revenue,total_cogs,total_opex_below_gm,gross_profit,gross_margin_pct,ebitda,ebitda_margin_pct
2023-01-01,2696525.26,686114.72,2054322.6199999999,2010410.5399999998,0.7455559826648908,-43912.080000000075,-0.01628469076532963
2023-02-01,2683708.03,726109.62,2088855.19,1957598.4099999997,0.7294379225000865,-131256.78000000026,-0.048908740642699594
2023-03-01,2776396.13,830950.99,2081445.25,1945445.14,0.7007087781814477,-136000.1100000001,-0.04898440410951016
2023-04-01,2831027.96,761296.9,2126362.5100000002,2069731.06,0.7310881733573553,-56631.450000000186,-0.02000384694187202
2023-05-01,2832838.06,760560.5700000001,2158202.7600000002,2072277.49,0.7315199266985278,-85925.27000000025,-0.030331867964242278
2023-06-01,2986125.25,686843.91,2178971.33,2299281.34,0.7699882447998455,120310.00999999978,0.04028967304703638
2023-07-01,2960780.13,798989.21,2208756.14,2161790.92,0.7301423358309285,-46965.220000000205,-0.01586244771238728
2023-08-01,2981399.56,771557.0599999999,2264974.73,2209842.5,0.7412097759885629,-55132.22999999998,-0.018492063505905924
2023-09-01,3132941.69,780650.81,2299848.25,2352290.88,0.7508249794460745,52442.62999999989,0.016739101837544856
2023-10-01,3159434.59,831734.39,2262701.34,2327700.1999999997,0.7367458112180761,64998.85999999987,0.020572940552632195
2023-11-01,3224374.98,777680.46,2312439.24,2446694.52,0.7588120287423891,134255.2799999998,0.04163761374925437
2023-12-01,3348723.55,780775.39,2294090.55,2567948.1599999997,0.7668438799613662,273857.60999999987,0.0817797008056995
2024-01-01,3374319.73,783355.57,2336480.49,2590964.16,0.7678478529952466,254483.66999999993,0.0754177702063817
2024-02-01,3396187.59,803392.72,2334198.13,2592794.87,0.7634427726060916,258596.74000000022,0.07614324390131826
2024-03-01,3497884.37,802705.79,2399886.76,2695178.58,0.7705167738292047,295291.8200000003,0.08442012049700783
2024-04-01,3564305.42,891848.52,2425814.94,2672456.9,0.7497833617187609,246641.95999999996,0.06919776251946444
2024-05-01,3553013.12,901817.0700000001,2450450.83,2651196.05,0.7461824542882632,200745.21999999974,0.05649999401071723
2024-06-01,3747503.25,876587.8999999999,2473593.31,2870915.35,0.766087487715988,397322.04000000004,0.10602313420275221
2024-07-01,3623127.0300000003,879795.22,2512458.26,2743331.8100000005,0.7571724058485468,230873.55000000075,0.06372217923587424
2024-08-01,3657801.07,877649.27,2535256.85,2780151.8,0.7600609619811829,244894.94999999972,0.066951412970088
2024-09-01,3946735.03,981237.3200000001,2569272.57,2965497.71,0.7513799855978678,396225.14000000013,0.100393144456926
2024-10-01,3874182.66,929149.39,2608214.57,2945033.27,0.7601689255405423,336818.7000000002,0.086939292635211
2024-11-01,4006897.73,943227.8300000001,2656389.19,3063669.9,0.7645989756768761,407280.70999999996,0.10164489773488677
2024-12-01,4070781.23,807695.87,2652189.57,3263085.36,0.8015870113462226,610895.79,0.15006844030279662
2025-01-01,4106460.69,930444.9,2681888.43,3176015.79,0.7734192604678264,494127.35999999987,0.12032925609230656
2025-02-01,4203447.74,958897.56,2696098.0,3244550.18,0.7718783200573347,548452.1800000002,0.13047674526340136
2025-03-01,4169261.71,1008183.44,2770256.86,3161078.27,0.7581865783138857,390821.41000000015,0.09373875692730264
2025-04-01,4251004.47,1073185.71,2830827.51,3177818.76,0.7475453819035857,346991.25,0.08162570809999643
2025-05-01,4269875.42,1034274.6900000001,2859022.46,3235600.73,0.7577740359459949,376578.27,0.08819420544124447
2025-06-01,4386041.649999999,1074815.75,2860605.96,3311225.8999999994,0.754946296508607,450619.9399999995,0.10273954876830674
2025-07-01,4396419.88,1071556.4,2911093.51,3324863.48,0.7562661371643147,413769.9700000002,0.0941152076675625
2025-08-01,4439266.25,1043257.43,2946726.45,3396008.82,0.7649932733816089,449282.36999999965,0.10120644825031606
2025-09-01,4535633.42,1077604.45,2958125.0,3458028.9699999997,0.7624136806893886,499903.96999999974,0.11021701352575353
2025-10-01,4531766.04,1177672.76,3007379.08,3354093.2800000003,0.7401293999722899,346714.2000000002,0.0765075242057289
2025-11-01,4600535.69,1075809.35,3029774.5,3524726.3400000003,0.7661556343670056,494951.8400000003,0.1075856972647462
2025-12-01,4646410.86,1098676.46,3071350.41,3547734.4000000004,0.7635429812162586,476383.9900000002,0.10252730642076714
2026-01-01,4676557.08,1192184.24,3092408.8000000003,3484372.84,0.7450722359193357,391964.0399999996,0.08381465965128337
2026-02-01,4742561.86,1137167.33,3140200.75,3605394.5300000003,0.7602208756429378,465193.78000000026,0.09808913277938777
2026-03-01,4767737.15,1195482.52,3168003.09,3572254.6300000004,0.7492557826934734,404251.5400000005,0.0847889737377826
2026-04-01,4880418.79,1175565.65,3213780.03,3704853.14,0.7591260708181972,491073.11000000034,0.10062110059206626
2026-05-01,4880743.23,1265006.82,3240546.15,3615736.41,0.7408167649089787,375190.26000000024,0.07687154236958296
2026-06-01,4915846.84,1252275.21,3272588.14,3663571.63,0.745257480397823,390983.48999999976,0.07953532783376949
2026-07-01,4864742.94,1171411.22,3334950.3,3693331.7200000007,0.7592038809762887,358381.42000000086,0.07366913820938724
2026-08-01,4987227.34,1381276.22,3406297.61,3605951.12,0.7230372457815408,199653.51000000024,0.04003296749652488
2026-09-01,4972539.4399999995,1354546.53,3404831.18,3617992.909999999,0.7275946131057734,213161.72999999905,0.04286778065253497
2026-10-01,5000264.5,1284002.81,3471304.88,3716261.69,0.7432130220311346,244956.81000000006,0.04898877049404088
2026-11-01,5102176.6,1373756.48,3527368.9899999998,3728420.1199999996,0.7307508956079646,201051.1299999999,0.03940497277181662
2026-12-01,5284234.22,1199222.98,3567610.0,4085011.2399999998,0.7730564297356222,517401.23999999976,0.09791413825710393
