period,dim1,dim2,gl_account,line_type,forecast_amount,actual_amount,variance_abs,variance_pct,plan_type
2026-07-01,PC10,1000,400000,Revenue,1203241.95,1204652.45,1410.5,0.0011722496876043925,Forecast
2026-07-01,PC10,2000,400000,Revenue,641796.36,657083.15,15286.790000000037,0.02381875459686315,Forecast
2026-07-01,PC10,3000,400000,Revenue,324843.99,328541.58,3697.5900000000256,0.011382664028969801,Forecast
2026-07-01,PC20,1000,400000,Revenue,852741.4,869435.11,16693.709999999963,0.01957652108833928,Forecast
2026-07-01,PC20,2000,400000,Revenue,467515.12,474237.33,6722.210000000021,0.014378593787512202,Forecast
2026-07-01,PC20,3000,400000,Revenue,235942.6,237118.67,1176.070000000007,0.004984559803952347,Forecast
2026-07-01,PC30,1000,400100,Revenue,242432.65,173432.94,-68999.70999999999,-0.2846139329830367,Forecast
2026-07-01,PC30,2000,400100,Revenue,132600.84,94599.78,-38001.06,-0.2865823474421429,Forecast
2026-07-01,PC30,3000,400100,Revenue,66290.71,47299.89,-18990.820000000007,-0.28647784885695154,Forecast
2026-07-01,PC40,1000,400200,Revenue,428210.29,428088.12,-122.1699999999837,-0.00028530374643725564,Forecast
2026-07-01,PC40,2000,400200,Revenue,234639.02,233502.61,-1136.4100000000035,-0.004843226842662416,Forecast
2026-07-01,PC40,3000,400200,Revenue,118635.7,116751.31,-1884.3899999999994,-0.015883835978546083,Forecast
2026-07-01,CC100,1000,600000,Opex,269927.41,278871.24,8943.830000000016,0.03313420448853274,Forecast
2026-07-01,CC100,1000,600100,Opex,56799.7,57007.83,208.13000000000466,0.0036642799169714748,Forecast
2026-07-01,CC100,1000,600200,Opex,20927.56,21322.81,395.25,0.01888657827286124,Forecast
2026-07-01,CC100,1000,610000,Opex,122574.87,129436.36,6861.490000000005,0.055977950455913236,Forecast
2026-07-01,CC100,1000,620000,Opex,19075.28,15271.87,-3803.409999999998,-0.19938947160932885,Forecast
2026-07-01,CC100,1000,630000,Opex,14183.62,16209.45,2025.83,0.14282884059217604,Forecast
2026-07-01,CC100,1000,640000,Opex,10812.37,10059.56,-752.8100000000013,-0.06962488335119879,Forecast
2026-07-01,CC100,2000,600000,Opex,147188.36,154961.48,7773.120000000024,0.05281069780246227,Forecast
2026-07-01,CC100,2000,600100,Opex,31044.98,30538.66,-506.3199999999997,-0.0163092390460551,Forecast
2026-07-01,CC100,2000,600200,Opex,11645.78,11907.64,261.85999999999876,0.022485398144220375,Forecast
2026-07-01,CC100,2000,610000,Opex,67201.91,73150.15,5948.239999999991,0.08851296042032124,Forecast
2026-07-01,CC100,2000,620000,Opex,10326.7,10168.26,-158.4400000000005,-0.015342752282917147,Forecast
2026-07-01,CC100,2000,630000,Opex,7621.75,7054.64,-567.1099999999997,-0.07440679633942332,Forecast
2026-07-01,CC100,2000,640000,Opex,5911.35,6021.85,110.5,0.018692853578285838,Forecast
2026-07-01,CC100,3000,600000,Opex,74475.27,74982.79,507.5199999999895,0.006814611078281281,Forecast
2026-07-01,CC100,3000,600100,Opex,15562.97,15674.2,111.23000000000138,0.007147093388986896,Forecast
2026-07-01,CC100,3000,600200,Opex,5650.51,6029.32,378.8099999999995,0.06703996630392646,Forecast
2026-07-01,CC100,3000,610000,Opex,34781.93,37207.08,2425.1500000000015,0.06972442299780379,Forecast
2026-07-01,CC100,3000,620000,Opex,4669.81,4930.55,260.7399999999998,0.055835248115019616,Forecast
2026-07-01,CC100,3000,630000,Opex,3918.99,3554.54,-364.4499999999998,-0.09299589945368573,Forecast
2026-07-01,CC100,3000,640000,Opex,2992.1,3144.54,152.44000000000005,0.05094749507035195,Forecast
2026-07-01,CC200,1000,600000,Opex,536779.43,552475.77,15696.339999999967,0.029241694302629975,Forecast
2026-07-01,CC200,1000,600100,Opex,112070.93,108027.34,-4043.5899999999965,-0.036080632149657337,Forecast
